# username, machinename, CPU name, CPU GHz, CPU Cores, CPU Cores used, Private cache/core (MB), Shared cache (MB), Array Length (MB), Peak MB/s, Copy MB/s, Scale MB/s, Add MB/s, Triad MB/s, Dot MB/s
jed, batura, i7-4500U, 1.8, 2, 1, 0.256, 4.096, 76.3, 25600, 19555, 12784, 13483, 13677, ?
jed,es.mcs.anl.gov,E5-2650v2,2.6,16,1,40,.256,76.3,119400,8901.8,12913.5,12753.7,12892.2,15233.7
jed,es.mcs.anl.gov,E5-2650v2,2.6,16,2,40,.256,76.3,119400,17012.4,23165.0,23067.8,23378.5,27893.5
jed,es.mcs.anl.gov,E5-2650v2,2.6,16,3,40,.256,76.3,119400,22550.8,34910.7,34612.4,35017.0,41374.1
jed,es.mcs.anl.gov,E5-2650v2,2.6,16,4,40,.256,76.3,119400,38666.1,46962.1,45897.9,46564.6,53963.4
jed,es.mcs.anl.gov,E5-2650v2,2.6,16,5,40,.256,76.3,119400,45402.1,48513.6,49966.9,50569.3,60584.0
jed,es.mcs.anl.gov,E5-2650v2,2.6,16,6,40,.256,76.3,119400,40588.4,47336.4,49149.6,49752.0,63562.1
jed,es.mcs.anl.gov,E5-2650v2,2.6,16,7,40,.256,76.3,119400,47904.1,56139.3,56968.5,58096.2,73087.4
jed,es.mcs.anl.gov,E5-2650v2,2.6,16,8,40,.256,76.3,119400,63167.2,52650.9,54309.8,55133.8,71590.4
jed,es.mcs.anl.gov,E5-2650v2,2.6,16,9,40,.256,76.3,119400,57822.6,60079.6,60636.9,61760.4,79484.6
jed,es.mcs.anl.gov,E5-2650v2,2.6,16,10,40,.256,76.3,119400,72300.0,56101.7,56536.5,57620.7,75437.1
jed,es.mcs.anl.gov,E5-2650v2,2.6,16,11,40,.256,76.3,119400,66721.9,62450.1,62015.3,63390.0,82140.6
jed,es.mcs.anl.gov,E5-2650v2,2.6,16,12,40,.256,76.3,119400,67684.2,58012.5,58025.9,59245.1,77519.8
jed,es.mcs.anl.gov,E5-2650v2,2.6,16,13,40,.256,76.3,119400,73295.0,63417.9,62714.7,63982.3,82993.9
jed,es.mcs.anl.gov,E5-2650v2,2.6,16,14,40,.256,76.3,119400,74831.5,58012.5,58939.8,60151.4,78618.6
jed,es.mcs.anl.gov,E5-2650v2,2.6,16,15,40,.256,76.3,119400,80893.0,62718.6,63060.4,64531.9,83117.2
jed,es.mcs.anl.gov,E5-2650v2,2.6,16,16,40,.256,76.3,119400,64751.9,52188.2,51746.9,52852.7,72198.9
jed,es.mcs.anl.gov,E5-2650v2,2.6,16,17,40,.256,76.3,119400,62305.1,50344.2,50336.7,50966.2,69384.7
jed,es.mcs.anl.gov,E5-2650v2,2.6,16,18,40,.256,76.3,119400,67425.8,55097.6,54421.4,55416.1,74598.6
jed,es.mcs.anl.gov,E5-2650v2,2.6,16,19,40,.256,76.3,119400,66662.2,53562.8,53957.6,54995.2,74137.1
jed,es.mcs.anl.gov,E5-2650v2,2.6,16,20,40,.256,76.3,119400,72105.8,56517.5,56724.5,57872.4,77753.3
jed,es.mcs.anl.gov,E5-2650v2,2.6,16,21,40,.256,76.3,119400,73932.9,59636.4,59377.9,60728.3,81255.4
jed,es.mcs.anl.gov,E5-2650v2,2.6,16,22,40,.256,76.3,119400,75124.7,58244.1,58908.8,60072.4,80082.2
jed,es.mcs.anl.gov,E5-2650v2,2.6,16,23,40,.256,76.3,119400,77933.9,61186.1,61256.8,62796.8,83427.2
jed,es.mcs.anl.gov,E5-2650v2,2.6,16,24,40,.256,76.3,119400,77332.2,60079.6,60212.5,61870.5,81304.7
jed,es.mcs.anl.gov,E5-2650v2,2.6,16,25,40,.256,76.3,119400,77852.5,56896.0,58153.3,59465.6,78627.8
jed,es.mcs.anl.gov,E5-2650v2,2.6,16,26,40,.256,76.3,119400,78197.2,59950.7,61365.1,62628.8,82473.7
jed,es.mcs.anl.gov,E5-2650v2,2.6,16,27,40,.256,76.3,119400,71014.7,62357.2,63610.3,65078.4,83334.0
jed,es.mcs.anl.gov,E5-2650v2,2.6,16,28,40,.256,76.3,119400,80360.3,59483.1,60805.4,62469.5,81098.3
jed,es.mcs.anl.gov,E5-2650v2,2.6,16,29,40,.256,76.3,119400,83210.0,61771.8,63024.9,64706.1,83676.9
jed,es.mcs.anl.gov,E5-2650v2,2.6,16,30,40,.256,76.3,119400,86015.0,63949.7,65289.5,66850.4,85981.9
jed,es.mcs.anl.gov,E5-2650v2,2.6,16,31,40,.256,76.3,119400,83035.0,61584.7,62957.8,64428.6,83416.9
jed,es.mcs.anl.gov,E5-2650v2,2.6,16,32,40,.256,76.3,119400,83035.0,60128.0,62337.9,62628.8,82221.1
