Stream Skip Length, Best Rate MB/s, Avg. Time, Min. Time, Max. Time
1, 3646.9, 0.067282, 0.065809, 0.068625
2, 1807.8, 0.137597, 0.132759, 0.146286
3, 1214.4, 0.201644, 0.197631, 0.224629
4, 915.4, 0.263845, 0.262176, 0.266748
5, 734.6, 0.349311, 0.326722, 0.478711
6, 618.0, 0.401023, 0.388319, 0.422924
7, 530.7, 0.456279, 0.452209, 0.470495
8, 465.0, 0.528194, 0.516119, 0.565239
9, 441.3, 0.548130, 0.543882, 0.555620
10, 417.4, 0.580493, 0.575034, 0.593369
11, 415.9, 0.585298, 0.577059, 0.594855
12, 377.0, 0.661984, 0.636676, 0.742209
13, 382.9, 0.670902, 0.626800, 0.747538
14, 379.0, 0.653356, 0.633324, 0.679704
15, 392.5, 0.651890, 0.611504, 0.707392
16, 427.4, 0.594825, 0.561550, 0.657556
17, 421.2, 0.605873, 0.569829, 0.721646
18, 402.1, 0.635301, 0.596895, 0.678043
19, 420.8, 0.580501, 0.570284, 0.604804
20, 411.7, 0.593227, 0.582985, 0.611481
21, 418.0, 0.584012, 0.574226, 0.593466
22, 417.6, 0.582312, 0.574712, 0.596130
23, 414.2, 0.585719, 0.579439, 0.612273
24, 416.6, 0.614895, 0.576059, 0.677234
25, 412.2, 0.617143, 0.582196, 0.671650
26, 412.7, 0.597279, 0.581495, 0.641353
27, 417.8, 0.585050, 0.574437, 0.649269
28, 420.4, 0.573774, 0.570869, 0.588143
29, 423.1, 0.568071, 0.567207, 0.568699
30, 411.0, 0.615102, 0.583924, 0.641466
31, 421.3, 0.570375, 0.569629, 0.571725
32, 429.7, 0.569062, 0.558549, 0.595112
33, 423.6, 0.566964, 0.566560, 0.568667
34, 418.3, 0.574259, 0.573766, 0.574915
35, 412.1, 0.582760, 0.582332, 0.583149
36, 409.5, 0.587017, 0.586126, 0.587713
37, 412.6, 0.582615, 0.581711, 0.584587
38, 413.9, 0.580359, 0.579818, 0.581332
39, 411.8, 0.583812, 0.582791, 0.584581
40, 401.0, 0.599261, 0.598517, 0.600558
41, 405.5, 0.592193, 0.591805, 0.592813
42, 416.5, 0.577288, 0.576257, 0.578607
43, 410.7, 0.584868, 0.584304, 0.586164
44, 407.5, 0.589718, 0.588897, 0.591575
45, 420.0, 0.573667, 0.571378, 0.588639
46, 415.2, 0.578641, 0.577973, 0.579662
47, 415.4, 0.578334, 0.577770, 0.578848
48, 437.1, 0.550020, 0.549081, 0.551270
49, 416.4, 0.577028, 0.576436, 0.578973
50, 418.9, 0.573557, 0.572997, 0.574420
51, 416.8, 0.576309, 0.575761, 0.576726
52, 422.8, 0.579189, 0.567659, 0.659889
53, 422.3, 0.569603, 0.568295, 0.571145
54, 409.4, 0.587344, 0.586265, 0.588591
55, 413.0, 0.582371, 0.581113, 0.583198
56, 418.6, 0.574384, 0.573316, 0.576751
57, 401.7, 0.598414, 0.597421, 0.600598
58, 424.4, 0.566889, 0.565566, 0.567877
59, 414.5, 0.579447, 0.579037, 0.580067
60, 408.1, 0.588601, 0.588152, 0.589375
61, 413.7, 0.580893, 0.580067, 0.581699
62, 420.3, 0.571962, 0.571020, 0.572968
63, 413.7, 0.580552, 0.580129, 0.581308
64, 428.3, 0.561495, 0.560395, 0.564544
