num_procs, pc_type, da_refine, avg_ksp_iterations, snes_solve_time_sec
2, bjacobi, 1, 9.000000, 0.087870
2, bjacobi, 2, 14.000000, 0.046130
2, bjacobi, 3, 22.333333, 0.069630
2, bjacobi, 4, 43.333333, 0.189600
2, bjacobi, 5, 103.666667, 1.056000
2, bjacobi, 6, 488.000000, 15.520000
2, bjacobi, 7, 1966.333333, 246.700000
2, bjacobi, 8, 4101.666667, 2070.000000
2, asm, 1, 7.000000, 0.067060
2, asm, 2, 11.333333, 0.045310
2, asm, 3, 18.666667, 0.076890
2, asm, 4, 34.000000, 0.191800
2, asm, 5, 76.000000, 0.926600
2, asm, 6, 406.000000, 14.050000
2, asm, 7, 1666.333333, 221.500000
2, asm, 8, 5267.333333, 2780.000000
2, gamg, 1, 4.000000, 0.243900
2, gamg, 2, 4.000000, 0.157700
2, gamg, 3, 4.500000, 0.301300
2, gamg, 4, 5.000000, 0.545800
2, gamg, 5, 5.500000, 2.682000
2, gamg, 6, 6.250000, 13.770000
2, gamg, 7, 7.750000, 121.000000
2, gamg, 8, 9.000000, 1317.000000
2, mg, 1, 3.500000, 0.125700
2, mg, 2, 3.500000, 0.187200
2, mg, 3, 3.250000, 0.292500
2, mg, 4, 3.333333, 0.385800
2, mg, 5, 3.000000, 0.966900
2, mg, 6, 2.500000, 2.365000
2, mg, 7, 2.500000, 7.961000
2, mg, 8, 2.500000, 30.000000
