Dimensions, CyclesPerDOF
4x4x512, 9.5054e+00
4x8x512, 1.0912e+01
8x4x512, 1.1109e+01
4x16x512, 1.1859e+01
8x8x512, 1.3699e+01
16x4x512, 1.2056e+01
4x32x512, 1.2613e+01
8x16x512, 1.4984e+01
16x8x512, 1.5173e+01
32x4x512, 1.2706e+01
4x64x512, 1.4516e+01
8x32x512, 1.6975e+01
16x16x512, 1.7675e+01
32x8x512, 1.6828e+01
64x4x512, 1.5398e+01
4x128x512, 1.6945e+01
8x64x512, 1.8770e+01
16x32x512, 1.8754e+01
32x16x512, 1.8684e+01
64x8x512, 1.7545e+01
128x4x512, 1.5441e+01
4x256x512, 1.7459e+01
8x128x512, 1.9839e+01
16x64x512, 2.0001e+01
32x32x512, 1.9282e+01
64x16x512, 1.8930e+01
128x8x512, 1.7879e+01
256x4x512, 1.5908e+01
4x512x512, 1.7776e+01
8x256x512, 1.9878e+01
16x128x512, 2.0705e+01
32x64x512, 2.0937e+01
64x32x512, 1.9635e+01
128x16x512, 1.9094e+01
256x8x512, 1.8103e+01
